timestamp,coin,price
2026-03-13 22:43:21,dogecoin,0.095767
2026-03-13 22:43:52,bitcoin,70723.0
2026-03-13 22:43:52,ethereum,2083.52
2026-03-13 22:43:52,dogecoin,0.095767
2026-03-13 22:44:22,bitcoin,70749.0
2026-03-13 22:44:22,ethereum,2084.03
2026-03-13 22:44:22,dogecoin,0.095793
2026-03-13 22:44:53,bitcoin,70749.0
2026-03-13 22:44:53,ethereum,2084.03
2026-03-13 22:44:53,dogecoin,0.095793
2026-03-13 22:45:24,bitcoin,70751.0
2026-03-13 22:45:24,ethereum,2084.28
2026-03-13 22:45:24,dogecoin,0.095802
2026-03-13 22:45:54,bitcoin,70751.0
2026-03-13 22:45:54,ethereum,2084.28
2026-03-13 22:45:54,dogecoin,0.095802
2026-03-13 22:46:25,bitcoin,70726.0
2026-03-13 22:46:25,ethereum,2083.87
2026-03-13 22:46:25,dogecoin,0.095817
2026-03-13 22:46:56,bitcoin,70726.0
2026-03-13 22:46:56,ethereum,2083.87
2026-03-13 22:46:56,dogecoin,0.095817
2026-03-13 22:47:27,bitcoin,70719.0
2026-03-13 22:47:27,ethereum,2083.49
2026-03-13 22:47:27,dogecoin,0.095812
2026-03-13 22:47:40,bitcoin,70719.0
2026-03-13 22:47:40,ethereum,2083.49
2026-03-13 22:47:40,dogecoin,0.095812
2026-03-13 22:48:03,bitcoin,70719.0
2026-03-13 22:48:03,ethereum,2083.49
2026-03-13 22:48:03,dogecoin,0.095812
2026-03-13 22:48:34,bitcoin,70733.0
2026-03-13 22:48:34,ethereum,2084.26
2026-03-13 22:48:34,dogecoin,0.095813
2026-03-13 22:49:05,bitcoin,70733.0
2026-03-13 22:49:05,ethereum,2084.26
2026-03-13 22:49:05,dogecoin,0.095813
2026-03-13 22:49:36,bitcoin,70759.0
2026-03-13 22:49:36,ethereum,2085.5
2026-03-13 22:49:36,dogecoin,0.095829
2026-03-13 22:50:07,bitcoin,70759.0
2026-03-13 22:50:07,ethereum,2085.5
2026-03-13 22:50:07,dogecoin,0.095829
